scenario_date,factor_id,factor_type,tenor_key,value
2023-01-03,USD_SOFR,yield_curve,0.25,0.053897
2023-01-03,USD_SOFR,yield_curve,0.5,0.052889
2023-01-03,USD_SOFR,yield_curve,1.0,0.051518
2023-01-03,USD_SOFR,yield_curve,2.0,0.049218
2023-01-03,USD_SOFR,yield_curve,5.0,0.043813
2023-01-03,USD_SOFR,yield_curve,10.0,0.041813
2023-01-03,EUR_ESTR,yield_curve,0.25,0.038216
2023-01-03,EUR_ESTR,yield_curve,0.5,0.037479
2023-01-03,EUR_ESTR,yield_curve,1.0,0.036236
2023-01-03,EUR_ESTR,yield_curve,2.0,0.035844
2023-01-03,EUR_ESTR,yield_curve,5.0,0.03224
2023-01-03,EUR_ESTR,yield_curve,10.0,0.027239
2023-01-03,EURUSD,fx_spot,spot,1.089079
2023-01-03,WTI,commodity,0.25,70.3707
2023-01-03,USD_SWAPTION,vol,1.0,0.236375
2023-01-04,USD_SOFR,yield_curve,0.25,0.053448
2023-01-04,USD_SOFR,yield_curve,0.5,0.052079
2023-01-04,USD_SOFR,yield_curve,1.0,0.05177
2023-01-04,USD_SOFR,yield_curve,2.0,0.048492
2023-01-04,USD_SOFR,yield_curve,5.0,0.042683
2023-01-04,USD_SOFR,yield_curve,10.0,0.042985
2023-01-04,EUR_ESTR,yield_curve,0.25,0.037384
2023-01-04,EUR_ESTR,yield_curve,0.5,0.03731
2023-01-04,EUR_ESTR,yield_curve,1.0,0.035915
2023-01-04,EUR_ESTR,yield_curve,2.0,0.035443
2023-01-04,EUR_ESTR,yield_curve,5.0,0.032836
2023-01-04,EUR_ESTR,yield_curve,10.0,0.027079
2023-01-04,EURUSD,fx_spot,spot,1.091534
2023-01-04,WTI,commodity,0.25,69.7367
2023-01-04,USD_SWAPTION,vol,1.0,0.243542
2023-01-05,USD_SOFR,yield_curve,0.25,0.052966
2023-01-05,USD_SOFR,yield_curve,0.5,0.053561
2023-01-05,USD_SOFR,yield_curve,1.0,0.051759
2023-01-05,USD_SOFR,yield_curve,2.0,0.047646
2023-01-05,USD_SOFR,yield_curve,5.0,0.043341
2023-01-05,USD_SOFR,yield_curve,10.0,0.042009
2023-01-05,EUR_ESTR,yield_curve,0.25,0.037634
2023-01-05,EUR_ESTR,yield_curve,0.5,0.036083
2023-01-05,EUR_ESTR,yield_curve,1.0,0.035962
2023-01-05,EUR_ESTR,yield_curve,2.0,0.035877
2023-01-05,EUR_ESTR,yield_curve,5.0,0.033202
2023-01-05,EUR_ESTR,yield_curve,10.0,0.027862
2023-01-05,EURUSD,fx_spot,spot,1.090776
2023-01-05,WTI,commodity,0.25,69.4218
2023-01-05,USD_SWAPTION,vol,1.0,0.237607
2023-01-06,USD_SOFR,yield_curve,0.25,0.05239
2023-01-06,USD_SOFR,yield_curve,0.5,0.053192
2023-01-06,USD_SOFR,yield_curve,1.0,0.052604
2023-01-06,USD_SOFR,yield_curve,2.0,0.047921
2023-01-06,USD_SOFR,yield_curve,5.0,0.04193
2023-01-06,USD_SOFR,yield_curve,10.0,0.042268
